,round,answer,start,update,answeredInRound
0,110680464442257320802,229750276106,1706558123,1706558123,110680464442257320802
1,110680464442257320801,229738000000,1706554523,1706554523,110680464442257320801
2,110680464442257320800,229926172451,1706553899,1706553899,110680464442257320800
3,110680464442257320799,231120000000,1706552459,1706552459,110680464442257320799
4,110680464442257320798,229806420000,1706550923,1706550923,110680464442257320798
5,110680464442257320797,230817760000,1706547743,1706547743,110680464442257320797
6,110680464442257320796,229416100000,1706547323,1706547323,110680464442257320796
7,110680464442257320795,229397659323,1706546987,1706546987,110680464442257320795
8,110680464442257320794,228240400000,1706545463,1706545463,110680464442257320794
9,110680464442257320793,227056222409,1706543723,1706543723,110680464442257320793
10,110680464442257320792,226227172000,1706543447,1706543447,110680464442257320792
11,110680464442257320791,224963060263,1706541503,1706541503,110680464442257320791
12,110680464442257320790,223833859231,1706540123,1706540123,110680464442257320790
13,110680464442257320789,224258630000,1706536547,1706536547,110680464442257320789
14,110680464442257320788,224720203000,1706534963,1706534963,110680464442257320788
15,110680464442257320787,225864804262,1706532947,1706532947,110680464442257320787
16,110680464442257320786,226237691743,1706529347,1706529347,110680464442257320786
17,110680464442257320785,226391299589,1706529107,1706529107,110680464442257320785
18,110680464442257320784,227584042041,1706525711,1706525711,110680464442257320784
19,110680464442257320783,227088744302,1706522135,1706522135,110680464442257320783
20,110680464442257320782,226277242630,1706518523,1706518523,110680464442257320782
21,110680464442257320781,225880000000,1706515223,1706515223,110680464442257320781
22,110680464442257320780,225972000000,1706514923,1706514923,110680464442257320780
23,110680464442257320779,226672856442,1706511347,1706511347,110680464442257320779
24,110680464442257320778,226336800000,1706507723,1706507723,110680464442257320778
25,110680464442257320777,226784167228,1706504147,1706504147,110680464442257320777
26,110680464442257320776,227147036815,1706500607,1706500607,110680464442257320776
27,110680464442257320775,226808564869,1706496971,1706496971,110680464442257320775
28,110680464442257320774,226495287827,1706493347,1706493347,110680464442257320774
29,110680464442257320773,226910000000,1706491691,1706491691,110680464442257320773
30,110680464442257320772,225693527462,1706489735,1706489735,110680464442257320772
31,110680464442257320771,225729566747,1706486135,1706486135,110680464442257320771
32,110680464442257320770,225875000000,1706485355,1706485355,110680464442257320770
33,110680464442257320769,224710000000,1706482535,1706482535,110680464442257320769
34,110680464442257320768,225026600000,1706481359,1706481359,110680464442257320768
35,110680464442257320767,226386436875,1706478935,1706478935,110680464442257320767
36,110680464442257320766,226190206248,1706475335,1706475335,110680464442257320766
37,110680464442257320765,225534196257,1706471723,1706471723,110680464442257320765
38,110680464442257320764,224911640000,1706470955,1706470955,110680464442257320764
39,110680464442257320763,226141089000,1706468123,1706468123,110680464442257320763
40,110680464442257320762,226821907798,1706464523,1706464523,110680464442257320762
41,110680464442257320761,226250000000,1706463563,1706463563,110680464442257320761
42,110680464442257320760,227394028672,1706460923,1706460923,110680464442257320760
43,110680464442257320759,227034900000,1706457323,1706457323,110680464442257320759
44,110680464442257320758,227110511000,1706453723,1706453723,110680464442257320758
45,110680464442257320757,227975999999,1706450147,1706450147,110680464442257320757
46,110680464442257320756,227622030000,1706446547,1706446547,110680464442257320756
47,110680464442257320755,228021040965,1706442947,1706442947,110680464442257320755
48,110680464442257320754,228180000000,1706441027,1706441027,110680464442257320754
