,round,answer,start,update,answeredInRound
0,110680464442257320387,4306645100191,1706558135,1706558135,110680464442257320387
1,110680464442257320386,4293991000000,1706554535,1706554535,110680464442257320386
2,110680464442257320385,4295902000000,1706550923,1706550923,110680464442257320385
3,110680464442257320384,4296665000000,1706550551,1706550551,110680464442257320384
4,110680464442257320383,4318534477930,1706549819,1706549819,110680464442257320383
5,110680464442257320382,4296555100000,1706548859,1706548859,110680464442257320382
6,110680464442257320381,4320884260453,1706547323,1706547323,110680464442257320381
7,110680464442257320380,4319205466551,1706546759,1706546759,110680464442257320380
8,110680464442257320379,4296300000000,1706545283,1706545283,110680464442257320379
9,110680464442257320378,4269100000000,1706544143,1706544143,110680464442257320378
10,110680464442257320377,4247293150000,1706543723,1706543723,110680464442257320377
11,110680464442257320376,4227300000000,1706543399,1706543399,110680464442257320376
12,110680464442257320375,4205248700000,1706541503,1706541503,110680464442257320375
13,110680464442257320374,4183280632452,1706540123,1706540123,110680464442257320374
14,110680464442257320373,4197659200000,1706536523,1706536523,110680464442257320373
15,110680464442257320372,4210803000000,1706532923,1706532923,110680464442257320372
16,110680464442257320371,4220701000000,1706529347,1706529347,110680464442257320371
17,110680464442257320370,4235596800000,1706525711,1706525711,110680464442257320370
18,110680464442257320369,4226258000000,1706522147,1706522147,110680464442257320369
19,110680464442257320368,4212879400000,1706518535,1706518535,110680464442257320368
20,110680464442257320367,4203534628276,1706515235,1706515235,110680464442257320367
21,110680464442257320366,4203777322000,1706514923,1706514923,110680464442257320366
22,110680464442257320365,4215425222988,1706511407,1706511407,110680464442257320365
23,110680464442257320364,4215096400000,1706511383,1706511383,110680464442257320364
24,110680464442257320363,4213695600000,1706507747,1706507747,110680464442257320363
25,110680464442257320362,4223823000000,1706504147,1706504147,110680464442257320362
26,110680464442257320361,4234512000000,1706500547,1706500547,110680464442257320361
27,110680464442257320360,4244287550000,1706498687,1706498687,110680464442257320360
28,110680464442257320359,4222979630189,1706496959,1706496959,110680464442257320359
29,110680464442257320358,4214329000000,1706493335,1706493335,110680464442257320358
30,110680464442257320357,4217212100000,1706491667,1706491667,110680464442257320357
31,110680464442257320356,4195640853714,1706489735,1706489735,110680464442257320356
32,110680464442257320355,4202444200000,1706486135,1706486135,110680464442257320355
33,110680464442257320354,4199325000000,1706484911,1706484911,110680464442257320354
34,110680464442257320353,4178047636000,1706482535,1706482535,110680464442257320353
35,110680464442257320352,4177425000000,1706481575,1706481575,110680464442257320352
36,110680464442257320351,4199429000000,1706478935,1706478935,110680464442257320351
37,110680464442257320350,4193336000000,1706475335,1706475335,110680464442257320350
38,110680464442257320349,4184044000000,1706471735,1706471735,110680464442257320349
39,110680464442257320348,4176502726677,1706470919,1706470919,110680464442257320348
40,110680464442257320347,4197681573747,1706468123,1706468123,110680464442257320347
41,110680464442257320346,4195877410000,1706466323,1706466323,110680464442257320346
42,110680464442257320345,4217050754000,1706464523,1706464523,110680464442257320345
43,110680464442257320344,4230881524962,1706460923,1706460923,110680464442257320344
44,110680464442257320343,4227506000000,1706457323,1706457323,110680464442257320343
45,110680464442257320342,4233384100000,1706454107,1706454107,110680464442257320342
46,110680464442257320341,4234276157160,1706453783,1706453783,110680464442257320341
47,110680464442257320340,4240849814000,1706450147,1706450147,110680464442257320340
48,110680464442257320339,4238940000000,1706446547,1706446547,110680464442257320339
49,110680464442257320338,4245977000000,1706442947,1706442947,110680464442257320338
50,110680464442257320337,4240618245722,1706441891,1706441891,110680464442257320337
51,110680464442257320336,4261977330391,1706439347,1706439347,110680464442257320336
52,110680464442257320335,4265200020000,1706435735,1706435735,110680464442257320335
53,110680464442257320334,4249833818665,1706432135,1706432135,110680464442257320334
54,110680464442257320333,4240896800000,1706428835,1706428835,110680464442257320333
55,110680464442257320332,4237002500000,1706428535,1706428535,110680464442257320332
56,110680464442257320331,4237000000000,1706424935,1706424935,110680464442257320331
57,110680464442257320330,4250678312956,1706421335,1706421335,110680464442257320330
58,110680464442257320329,4251834000000,1706420519,1706420519,110680464442257320329
59,110680464442257320328,4273466670648,1706417951,1706417951,110680464442257320328
60,110680464442257320327,4251162700000,1706417735,1706417735,110680464442257320327
61,110680464442257320326,4242025787000,1706416115,1706416115,110680464442257320326
62,110680464442257320325,4218802163204,1706414135,1706414135,110680464442257320325
63,110680464442257320324,4211255210000,1706410523,1706410523,110680464442257320324
64,110680464442257320323,4214425358261,1706406923,1706406923,110680464442257320323
65,110680464442257320322,4221834458407,1706405243,1706405243,110680464442257320322
66,110680464442257320321,4200195498000,1706403323,1706403323,110680464442257320321
67,110680464442257320320,4211513331551,1706399723,1706399723,110680464442257320320
68,110680464442257320319,4216700000000,1706396123,1706396123,110680464442257320319
69,110680464442257320318,4214099000000,1706392547,1706392547,110680464442257320318
70,110680464442257320317,4202808668179,1706388947,1706388947,110680464442257320317
71,110680464442257320316,4195200000000,1706385347,1706385347,110680464442257320316
72,110680464442257320315,4179382385236,1706381747,1706381747,110680464442257320315
73,110680464442257320314,4180271985312,1706378111,1706378111,110680464442257320314
74,110680464442257320313,4181337907236,1706374559,1706374559,110680464442257320313
75,110680464442257320312,4181384766968,1706370935,1706370935,110680464442257320312
76,110680464442257320311,4175265888011,1706367335,1706367335,110680464442257320311
77,110680464442257320310,4173094634827,1706363735,1706363735,110680464442257320310
78,110680464442257320309,4175357000000,1706360135,1706360135,110680464442257320309
79,110680464442257320308,4177624500000,1706356535,1706356535,110680464442257320308
80,110680464442257320307,4173345852005,1706352923,1706352923,110680464442257320307
81,110680464442257320306,4170798474000,1706349323,1706349323,110680464442257320306
82,110680464442257320305,4157527762000,1706345723,1706345723,110680464442257320305
83,110680464442257320304,4170400000000,1706342435,1706342435,110680464442257320304
84,110680464442257320303,4167797000000,1706342123,1706342123,110680464442257320303
85,110680464442257320302,4171148505000,1706338523,1706338523,110680464442257320302
86,110680464442257320301,4176227655985,1706334923,1706334923,110680464442257320301
87,110680464442257320300,4184214977357,1706331347,1706331347,110680464442257320300
88,110680464442257320299,4181292000000,1706327747,1706327747,110680464442257320299
89,110680464442257320298,4186779000000,1706324147,1706324147,110680464442257320298
90,110680464442257320297,4180708000000,1706320535,1706320535,110680464442257320297
91,110680464442257320296,4176010000000,1706316935,1706316935,110680464442257320296
92,110680464442257320295,4186950000000,1706313335,1706313335,110680464442257320295
93,110680464442257320294,4191008025804,1706309735,1706309735,110680464442257320294
94,110680464442257320293,4198122749725,1706306135,1706306135,110680464442257320293
95,110680464442257320292,4185710516528,1706302535,1706302535,110680464442257320292
96,110680464442257320291,4204750367470,1706299499,1706299499,110680464442257320291
97,110680464442257320290,4202378900000,1706298983,1706298983,110680464442257320290
98,110680464442257320289,4208611775967,1706295323,1706295323,110680464442257320289
99,110680464442257320288,4207602490930,1706294219,1706294219,110680464442257320288
100,110680464442257320287,4186598112906,1706292959,1706292959,110680464442257320287
101,110680464442257320286,4213375732902,1706292659,1706292659,110680464442257320286
102,110680464442257320285,4192199321302,1706291723,1706291723,110680464442257320285
103,110680464442257320284,4175341839460,1706290199,1706290199,110680464442257320284
104,110680464442257320283,4197707332934,1706288135,1706288135,110680464442257320283
105,110680464442257320282,4192292675118,1706288003,1706288003,110680464442257320282
106,110680464442257320281,4171287000000,1706286347,1706286347,110680464442257320281
107,110680464442257320280,4150265620000,1706285183,1706285183,110680464442257320280
108,110680464442257320279,4129129900000,1706284523,1706284523,110680464442257320279
109,110680464442257320278,4139168491000,1706280923,1706280923,110680464442257320278
110,110680464442257320277,4117606000000,1706278727,1706278727,110680464442257320277
111,110680464442257320276,4097049000000,1706277323,1706277323,110680464442257320276
112,110680464442257320275,4093990000000,1706277143,1706277143,110680464442257320275
113,110680464442257320274,4114684077000,1706273747,1706273747,110680464442257320274
114,110680464442257320273,4125832400000,1706270147,1706270147,110680464442257320273
115,110680464442257320272,4124300000000,1706268671,1706268671,110680464442257320272
116,110680464442257320271,4086166773228,1706267147,1706267147,110680464442257320271
